sample_id,origin_segment_id,doc_id,source_file,doc_title,doc_keywords,year,page,section_guess,split,label,label_name,generator,generator_model,word_count,text,token_count
1,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta__p1_b5_1,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta.pdf,Aplikasi Pemrediksi Masa Studi Dan Predikat Kelulusan Mahasiswa Informatika Universitas Muhammadiyah Surakarta,,2015,1,,train,0,human,human,human,160,"pada tahun 2006 telah memiliki sebanyak 2358 mahasiswa termasuk yang sudah lulus sebanyak kurang lebih 600700 mahasiswa. Dengan demikian data-data akademik mahasiswa yang ada juga cukup banyak. Jika data yang melimpah ini hanya dibiarkan menumpuk, maka hanya akan menjadi beban database yang dimiliki. Sementara itu, data-data yang melimpah ini sebenarnya bisa dimanfaatkan sebagai sumber informasi strategis bagi program studi untuk melakukan klasifikasi masa studi lulusan mahasiswa dengan menggunakan teknik data mining. Hal ini tentunya selain dapat memberikan informasi yang bersifat strategis bagi fakultas dan program studi, juga dapat meningkatkan upaya untuk mendorong dan mempercepat kelulusannya. Sehingga selain dapat bermanfaat bagi mahasiswa sendiri, juga dapat meningkatkan nilai akreditasi bagi program studi. Menurut buku panduan akademik Fakultas Komunikasi dan Informatika Universitas Muhammadiyah Surakarta[4], dalam BAB II disebutkan bahwa “Beban studi mahasiswa program Strata satu (S-1) yang harus ditempuh minimal 144 satuan kredit mahasiswa (SKS) dan maksimal 146 satuan kredit mahasiswa (SKS), dengan batas waktu kurang dari 8 semester dan waktu paling",192
2,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta__p1_b6_2,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta.pdf,Aplikasi Pemrediksi Masa Studi Dan Predikat Kelulusan Mahasiswa Informatika Universitas Muhammadiyah Surakarta,,2015,1,,train,0,human,human,human,141,"Dengan perkembangan teknologi informasi yang sangat pesat, informasi menjadi elemen penting dalam perkembangan kehidupan saat ini dan waktu mendatang. Data yang dihasilkan teknologi informasi sangat besar, termasuk bidang pendidikan, ekonomi, industry, dan berbagai bidang lainnya sehingga keperluan akan informasi yang tinggi tetapi tidak diimbangi dengan penyajian informasi yang memadai. Dari data yang jumlahnya sangat besar ini tentu belum digunakan secara optimal, sehingga perlu adanya penggalian ulang dari data yang jumlahnya sangat besar untuk menyajikan informasi yang dibutuhkan. Dalam dunia pendidikan, data yang berlimpah dan berkesinambungan mengenai siswa yang dibina dan alumni terus dihasilkan. Menurut Jing dan Merceron dalam Ayub[1], data yang berlimpah membuka peluang diterapkannya data mining untuk pengelolaan pendidikan yang lebih baik dan data mining dalam pelaksanaan pembelajaran berbantuan komputer yang lebih efektif. Di sisi lain, Nugroho dan Setyawan[2] menyatakan bahwa Fakultas Komunikasi dan Informatika UMS sejak berdiri",169
3,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta__p2_b1_3,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta.pdf,Aplikasi Pemrediksi Masa Studi Dan Predikat Kelulusan Mahasiswa Informatika Universitas Muhammadiyah Surakarta,,2015,2,,train,0,human,human,human,85,"lama 14 semester”. “Predikat Kelulusan untuk mahasiswa sarjana Strata satu (S-1) yaitu : Memuaskan, Sangat Memuaskan, dan Dengan Pujian (Cumlaude)”. Berdasarkan permasalahan tersebut, dalam penelitian ini akan dibangun sebuah aplikasi untuk membantu program studi dalam memprediksi lama studi dan predikat kelulusan mahasiswa dengan teknik data mining yaitu menggunakan metode Naïve Bayes. Aplikasi tersebut diharapkan dapat digunakan untuk menemukan informasi tentang lama studi dan predikat kelulusan sehingga dapat membantu program studi Informatika dalam mencari solusi dan kebijakan untuk meningkatkan prestasi mahasiswa agar dapat menyelesaikan studinya tepat waktu.",108
4,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta__p4_b13_4,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta.pdf,Aplikasi Pemrediksi Masa Studi Dan Predikat Kelulusan Mahasiswa Informatika Universitas Muhammadiyah Surakarta,,2015,4,,train,0,human,human,human,83,"Algoritma Naïve Bayes digunakan untuk melakukan perhitungan terhadap probabilitas nilai class data dalam data testing untuk setiap variabel dependen (Y) berdasarkan data training. Data mahasiswa yang telah lulus diatur sebagai data training dan data mahasiswa aktif sebagai data testing yang dipilih secara acak. Tabel 5 adalah contoh potongan data training yang diambil secara random, sedangkan tabel 6 merupakan contoh data testing yang digunakan sebagai hipotesis. Untuk mencari nilai class variabel Lama Studi, diperlukan perhitungan probabilitas prior terhadap data training, dengan tahapan sebagai berikut:",98
5,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta__p6_b5_5,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta,002_2015_aplikasi_pemrediksi_masa_studi_dan_predikat_kelulusan_mahasiswa_informatika_universitas_muhammadiyah_surakarta.pdf,Aplikasi Pemrediksi Masa Studi Dan Predikat Kelulusan Mahasiswa Informatika Universitas Muhammadiyah Surakarta,,2015,6,,train,0,human,human,human,87,"lama studi dan predikat kelulusan dalam bentuk tabel dengan menggunakan data mahasiswa yang telah lulus sebagai data training dan data mahasiswa yang masih aktif sebagai data testing. Variabel bebas (X) yang terdiri dari jurusan asal sekolah, gender, daerah asal, asal sekolah, dan asisten dapat digunakan sebagai variabel untuk memprediksi lama studi dan predikat kelulusan mahasiswa. Algoritma naïve bayes dapat digunakan untuk memprediksi suatu nilai class variabel dalam data testing berdasarkan perbandingan nilai probabilitas masingmasing class variabel pada data training terhadap variabel X yang diajukan dalam data testing..",101
6,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp__p2_b1_1,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp.pdf,Analisis Knowledge Sharing Pada Mahasiswa Program Studi Teknik Informatika Stmik Gi Mdp,"Kata Kunci —Knowledge, Knowledge Sharing, Teknik Informatika, STMIK GI MDP",2015,2,,val,0,human,human,human,96,"(knowledge) adalah pemahaman tentang sesuatu hal berdasarkan interpretasi atas sebuah konteks permasalahan tertentu [1]. Pengetahuan juga didefinisikan sebagai suatu hasil pemikiran, praktik, akses informasi, dan kemampuan [2]. Pengetahuan dikategorikan menjadi dua [1], antara lain: a. Tacit Knowledge (pengetahuan implisit) Tacit Knowledge merupakan pengetahuan yang masih berada dalam pikiran pemiliknya. Pengetahuan implisit terdiri dari komponen kognitif dan komponen teknis. Komponen kognitif merupakan kerangka berpikir yang tidak mudah diutarakan secara terstruktur, sedangkan komponen teknis adalah konsep konkrit yang dapat diutarakan secara eksplisit atau terstruktur. b. Explicit Knowledge (pengetahuan eksplisit) Explicit Knowledge merupakan pengetahuan yang sudah disampaikan secara eksplisit.",132
7,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp__p3_b9_2,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp.pdf,Analisis Knowledge Sharing Pada Mahasiswa Program Studi Teknik Informatika Stmik Gi Mdp,"Kata Kunci —Knowledge, Knowledge Sharing, Teknik Informatika, STMIK GI MDP",2015,3,,val,0,human,human,human,180,"Berbagi pengetahuan (Knowledge Sharing) pada dasarnya merupakan tindakan menyediakan pengetahuan yang dibutuhkan oleh suatu individu ataupun suatu organisasi [2]. Berbagi pengetahuan antar individu adalah proses dimana pengetahuan yang dimiliki oleh seseorang diolah menjadi bentuk yang dapat dipahami, diserap, dan digunakan oleh individuindividu yang lain. Selain itu, berbagi pengetahuan merupakan sebuah aktivitas dimana pengetahuan ( informasi, skill, dan keahlian) ditukarkan kepada orang lain, teman, atau bahkan anggota keluarga, dan komunitas pada sebuah organisasi[3]. Knowledge sharing tidak hanya sekadar memberikan sesuatu kepada orang lain atau mendapatkan sesuatu dari mereka sebagai hasil timbal balik. Namun knowledge sharing terjadi ketika orang-orang secara alami tertarik untuk membantu sama lain untuk membangun kompetensi dan kapasitas yang baru untuk bertindak. Jadi, knowledge sharing bukan sesuatu yang dipaksakan atau disiapkan secara formal, namun mengalir secara alamiah dan ada unsur kerelaan untuk membantu orang lain demi kemajuan atau mencapai tujuan tertentu. Knowledge sharing juga disebutkan merupakan proses penciptaan pembelajaran (lesson learn)[4]. Hal itu dimaksudkan bahwa melalui kegiatanknowledge sharing, maka seseorang akan mendapatkan pemahaman, wawasan baru terhadap suatu hal, dan peningkatan tersebut merupakan salah satu bentuk dari adanya pembelajaran.",226
8,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp__p4_b4_3,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp.pdf,Analisis Knowledge Sharing Pada Mahasiswa Program Studi Teknik Informatika Stmik Gi Mdp,"Kata Kunci —Knowledge, Knowledge Sharing, Teknik Informatika, STMIK GI MDP",2015,4,,val,0,human,human,human,82,"Keyakinan diri merupakan keyakinan seseorang terhadap kemampuannya untuk mengatur dan melaksanakan tindakan-tindakan untuk mencapai tujuan yang ditetapkan, dan berusaha untuk menilai tingkatan dan kekuatan diseluruh kegiatan yang dilakukannya. Keyakinan diri sangat penting perannya dalam mempengaruhi usaha yang dilakukan, seberapa kuat usahanya, dan memprediksi keberhasilan yang akan dicapai. Keyakinan diri dapat membantu memotivasi individu untuk berbagi pengetahuan dengan orang lain. Keadaan ini pula yang meyakinkan individu bahwa dengan pengetahuan yang dimilikinya dapat menolong orang lain dan meningkatkan kinerja. d) Kebudayaan Organisasi (Organizational Culture)",97
9,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp__p4_b8_4,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp.pdf,Analisis Knowledge Sharing Pada Mahasiswa Program Studi Teknik Informatika Stmik Gi Mdp,"Kata Kunci —Knowledge, Knowledge Sharing, Teknik Informatika, STMIK GI MDP",2015,4,,val,0,human,human,human,119,"Berbagi pengetahuan (knowledge sharing) sedang banyak diminati oleh organisasi organisasi ataupun perusahaan-perusahaan karena dianggap dapat memberikan dampak positif terhadap efektivitas organisasi serta meningkatkan keunggulan kompetitif (competitive advantage). Tidak mengherankan banyak penelitian mengenai knowledge sharing bermunculan terutama pada organisasi di sektor bisnis. Sebenarnya knowledge sharing tidak hanya dapat diterapkan pada organisasi yang berkecimpung di lingkup bisnis, namun juga dapat diterapkan pada dunia pendidikan misalnya di perguruan tinggi [5]. Pada perguruan tinggi, knowledge sharing dapat dilakukan oleh dosen yang satu kepada dosen yang lain (antar dosen), antar dosen dengan mahasiswa, antar mahasiswa dengan mahasiswa yang lain, antar dosen dengan alumni, antar alumni dengan mahasiswa, bahkan terdapat sarana dimana para dosen, para mahasiswa, dan para alumni dapat saling melakukan knowledge sharing [3].",149
10,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp__p4_b9_5,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp,003_2015_analisis_knowledge_sharing_pada_mahasiswa_program_studi_teknik_informatika_stmik_gi_mdp.pdf,Analisis Knowledge Sharing Pada Mahasiswa Program Studi Teknik Informatika Stmik Gi Mdp,"Kata Kunci —Knowledge, Knowledge Sharing, Teknik Informatika, STMIK GI MDP",2015,4,,val,0,human,human,human,88,"Di perguruan tinggi, knowledge sharing berperan penting karena proses belajar mahasiswa di perguruan tinggi sangat berbeda dengan proses belajar sewaktu mereka masih duduk di bangku sekolah. Sewaktu mereka masih sekolah, mereka langsung mendapatkan pengetahuan-pengetahuan dari guru yang mengajar mereka. Sedangkan, di perguruan tinggi, seorang mahasiswa diharuskan untuk mencari pengetahuan sendiri baik melalui orang lain maupun melalui studi literature dari buku-buku karena sebagai mahasiswa, mereka tidak cukup hanya mendapatkan pengetahuan dari dosennya. Dengan melakukan berbagi pengetahuan, mereka tidak hanya tahu dan memahami suatu hal namun juga dapat menerapkannya sehingga",105
